SuperWEB2(tm)

"Census 2022-Person-2Fv1"
"Scotland's Census 2022 - National Records of Scotland Table UV601 - Economic activity All people aged 16 and over"
"Intermediate Zone - Data Zone 2011 by Economic activity"
"Counting: Individuals"

Filters:
"Default Summation","Individuals"

"Counting","Intermediate Zone - Data Zone 2011","Economic activity","Count",
"Individuals","S01006509","Economically Inactive - Total",175
"Individuals","S01006509","Economically inactive - Retired",119
"Individuals","S01006509","Economically inactive - Student",16
"Individuals","S01006509","Economically inactive - Looking after home/ family",20
"Individuals","S01006509","Economically inactive - Long term sick or disabled",17
"Individuals","S01006509","Economically inactive - Other",6
"Individuals","S01006510","All people aged 16 and over",522
"Individuals","S01006510","Economically Active (excluding full-time students) - Total",283
"Individuals","S01006510","Economically Active (excluding full-time students) - Employee - Total",242
"Individuals","S01006510","Economically Active (excluding full-time students) - Employee - Part-time",58
"Individuals","S01006510","Economically Active (excluding full-time students) - Employee - Full-time",183
"Individuals","S01006510","Economically Active (excluding full-time students) - Self-employed with employees - Total",9
"Individuals","S01006510","Economically Active (excluding full-time students) - Self-employed with employees - Part-time",0
"Individuals","S01006510","Economically Active (excluding full-time students) - Self-employed with employees - Full-time",7
"Individuals","S01006510","Economically Active (excluding full-time students) - Self-employed without employees - Total",25
"Individuals","S01006510","Economically Active (excluding full-time students) - Self-employed without employees - Part-time",11
"Individuals","S01006510","Economically Active (excluding full-time students) - Self-employed without employees - Full-time",17
"Individuals","S01006510","Economically Active (excluding full-time students) - Unemployed - Available for work",7
"Individuals","S01006510","Economically Active full-time students - Total",12
"Individuals","S01006510","Economically Active full-time students - Employee - Total",8
"Individuals","S01006510","Economically Active full-time students - Employee - Part-time",7
"Individuals","S01006510","Economically Active full-time students - Employee - Full-time",1
"Individuals","S01006510","Economically Active full-time students - Self-employed with employees - Total",0
"Individuals","S01006510","Economically Active full-time students - Self-employed with employees - Part-time",0
"Individuals","S01006510","Economically Active full-time students - Self-employed with employees - Full-time",0
"Individuals","S01006510","Economically Active full-time students - Self-employed without employees - Total",0
"Individuals","S01006510","Economically Active full-time students - Self-employed without employees - Part-time",0
"Individuals","S01006510","Economically Active full-time students - Self-employed without employees - Full-time",0
"Individuals","S01006510","Economically Active full-time students - Unemployed - Available for work",4
"Individuals","S01006510","Economically Inactive - Total",227
"Individuals","S01006510","Economically inactive - Retired",145
"Individuals","S01006510","Economically inactive - Student",28
"Individuals","S01006510","Economically inactive - Looking after home/ family",17
"Individuals","S01006510","Economically inactive - Long term sick or disabled",27
"Individuals","S01006510","Economically inactive - Other",8
"Individuals","S01006511","All people aged 16 and over",600
"Individuals","S01006511","Economically Active (excluding full-time students) - Total",301
"Individuals","S01006511","Economically Active (excluding full-time students) - Employee - Total",248
"Individuals","S01006511","Economically Active (excluding full-time students) - Employee - Part-time",54
"Individuals","S01006511","Economically Active (excluding full-time students) - Employee - Full-time",194
"Individuals","S01006511","Economically Active (excluding full-time students) - Self-employed with employees - Total",12
"Individuals","S01006511","Economically Active (excluding full-time students) - Self-employed with employees - Part-time",1
"Individuals","S01006511","Economically Active (excluding full-time students) - Self-employed with employees - Full-time",9
"Individuals","S01006511","Economically Active (excluding full-time students) - Self-employed without employees - Total",27
"Individuals","S01006511","Economically Active (excluding full-time students) - Self-employed without employees - Part-time",7
"Individuals","S01006511","Economically Active (excluding full-time students) - Self-employed without employees - Full-time",18
"Individuals","S01006511","Economically Active (excluding full-time students) - Unemployed - Available for work",14
"Individuals","S01006511","Economically Active full-time students - Total",17
"Individuals","S01006511","Economically Active full-time students - Employee - Total",16
"Individuals","S01006511","Economically Active full-time students - Employee - Part-time",11
"Individuals","S01006511","Economically Active full-time students - Employee - Full-time",5
"Individuals","S01006511","Economically Active full-time students - Self-employed with employees - Total",0
"Individuals","S01006511","Economically Active full-time students - Self-employed with employees - Part-time",0
"Individuals","S01006511","Economically Active full-time students - Self-employed with employees - Full-time",0
"Individuals","S01006511","Economically Active full-time students - Self-employed without employees - Total",0
"Individuals","S01006511","Economically Active full-time students - Self-employed without employees - Part-time",0
"Individuals","S01006511","Economically Active full-time students - Self-employed without employees - Full-time",0
"Individuals","S01006511","Economically Active full-time students - Unemployed - Available for work",2
"Individuals","S01006511","Economically Inactive - Total",278
"Individuals","S01006511","Economically inactive - Retired",218
"Individuals","S01006511","Economically inactive - Student",17
"Individuals","S01006511","Economically inactive - Looking after home/ family",25
"Individuals","S01006511","Economically inactive - Long term sick or disabled",7
"Individuals","S01006511","Economically inactive - Other",13
"Individuals","S01006512","All people aged 16 and over",506
"Individuals","S01006512","Economically Active (excluding full-time students) - Total",249
"Individuals","S01006512","Economically Active (excluding full-time students) - Employee - Total",195
"Individuals","S01006512","Economically Active (excluding full-time students) - Employee - Part-time",51
"Individuals","S01006512","Economically Active (excluding full-time students) - Employee - Full-time",145
"Individuals","S01006512","Economically Active (excluding full-time students) - Self-employed with employees - Total",7
"Individuals","S01006512","Economically Active (excluding full-time students) - Self-employed with employees - Part-time",0
"Individuals","S01006512","Economically Active (excluding full-time students) - Self-employed with employees - Full-time",7
"Individuals","S01006512","Economically Active (excluding full-time students) - Self-employed without employees - Total",36
"Individuals","S01006512","Economically Active (excluding full-time students) - Self-employed without employees - Part-time",9
"Individuals","S01006512","Economically Active (excluding full-time students) - Self-employed without employees - Full-time",29
"Individuals","S01006512","Economically Active (excluding full-time students) - Unemployed - Available for work",8
"Individuals","S01006512","Economically Active full-time students - Total",14
"Individuals","S01006512","Economically Active full-time students - Employee - Total",13
"Individuals","S01006512","Economically Active full-time students - Employee - Part-time",13
"Individuals","S01006512","Economically Active full-time students - Employee - Full-time",0
"Individuals","S01006512","Economically Active full-time students - Self-employed with employees - Total",0
