,"All people","All people","All people","All people","All people","All people","All people","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: Total","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: England","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Northern Ireland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Scotland","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: Wales","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: United Kingdom: UK part not specified","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Europe: Other","Africa","Africa","Africa","Africa","Africa","Africa","Africa","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","Middle East and Asia","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","The Americas and the Caribbean","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other","Antarctica, Oceania and other"
,"All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated","All people","No religion","Church of Scotland","Roman Catholic","Other Christian","Other religion","Religion not stated"
"S00153697",87,58,18,3,2,4,7,86,57,18,3,2,4,7,85,57,18,1,2,4,7,9,6,2,-,2,-,-,1,-,1,-,-,-,-,75,51,15,1,-,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00153698",90,41,26,11,7,-,5,88,39,26,11,7,-,5,87,39,25,11,7,-,5,20,7,5,3,3,-,1,4,-,-,-,4,-,-,64,32,20,8,-,-,4,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00153699",93,53,25,5,5,3,2,89,52,24,5,5,1,2,90,51,24,5,5,1,1,16,5,7,1,3,-,-,1,1,-,-,-,-,-,69,45,17,4,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,2,1,1,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00153700",89,67,10,1,6,1,4,86,65,10,1,4,1,4,81,62,9,1,4,1,4,27,19,1,1,4,-,3,-,-,-,-,-,-,-,54,43,8,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,1,-,1,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-
"S00153701",164,88,42,18,13,-,3,161,88,42,17,12,-,3,150,83,42,12,10,-,3,27,16,4,3,4,-,3,1,-,-,-,1,-,-,121,69,40,9,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,4,-,8,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2,2,-,-,-,-,-,1,-,-,1,-,-,-
"S00153702",156,82,35,11,13,2,16,147,79,34,11,11,3,11,134,71,34,7,10,3,11,25,11,4,1,6,3,1,2,1,-,-,-,-,-,107,61,30,5,2,-,10,3,2,-,-,1,-,-,-,-,-,-,-,-,-,13,7,-,5,2,-,-,2,-,-,-,2,-,1,2,-,-,-,-,2,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-
"S00153703",152,85,15,19,12,6,12,106,57,15,16,7,-,8,94,53,15,10,4,-,6,37,26,2,2,4,-,4,6,1,-,2,1,-,1,49,25,13,7,-,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,12,4,-,5,3,-,2,-,-,-,-,-,-,-,10,5,-,2,1,4,-,31,20,-,-,8,1,2,6,-,-,2,-,-,-
"S00153704",68,34,14,10,11,-,-,64,31,16,9,10,-,-,56,30,16,6,7,-,-,10,5,-,1,4,-,-,-,-,-,-,-,-,-,45,24,16,6,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,6,1,-,2,5,-,-,1,-,1,-,-,-,-,5,2,1,2,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-
"S00153705",454,233,23,59,70,38,30,292,154,23,35,50,14,17,238,122,22,20,41,13,16,136,75,3,15,30,8,5,6,1,1,-,2,1,-,93,40,18,9,7,4,11,7,6,-,-,2,-,-,-,-,-,-,-,-,-,54,29,1,11,8,1,1,5,2,-,-,4,-,1,55,26,-,2,5,18,6,100,54,-,20,19,6,6,2,-,-,-,1,-,2
"S00153706",122,71,42,1,5,2,-,119,70,41,1,5,-,-,116,69,40,1,4,-,-,17,10,4,-,3,-,-,3,3,-,-,-,-,-,93,56,34,1,-,-,-,4,1,2,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,2,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-
"S00153707",74,28,24,2,12,-,9,77,28,23,2,12,-,9,70,33,22,2,7,-,9,10,2,5,-,4,-,-,-,-,-,-,-,-,-,65,30,18,2,5,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
"S00153708",92,49,13,5,11,1,9,83,44,13,5,7,1,9,75,38,13,3,7,1,9,27,21,-,-,4,-,1,-,-,-,-,-,-,-,47,17,13,3,5,-,6,-,-,-,-,-,-,-,2,-,-,-,-,1,1,11,6,-,3,-,-,-,3,1,-,-,1,-,-,1,-,-,-,1,-,-,3,1,-,-,2,-,-,4,4,-,-,-,-,-
"S00153709",111,62,29,15,4,1,-,110,61,29,15,4,1,-,102,59,29,9,4,1,-,20,13,3,-,3,1,-,1,1,-,-,-,-,-,80,45,26,9,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,8,3,-,6,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00153710",208,105,14,18,26,17,22,131,69,13,9,18,7,15,116,61,13,6,15,7,14,60,32,2,4,11,3,8,4,2,-,-,-,-,-,52,27,11,2,2,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,8,-,3,3,-,1,2,1,-,-,-,-,2,25,12,1,3,1,6,2,46,18,-,9,6,3,4,4,2,-,-,2,-,-
"S00153711",2991,1771,124,322,306,270,195,1936,1199,103,228,203,83,118,1557,1000,106,147,149,61,100,807,504,33,76,92,45,54,42,19,1,8,3,2,5,673,454,62,63,39,19,40,35,23,1,-,9,2,1,-,-,-,-,-,-,-,375,199,2,81,58,22,18,44,25,3,-,3,8,3,514,285,2,19,33,135,37,472,242,16,77,66,38,36,25,20,-,-,2,2,-
"S00153712",92,47,14,13,9,6,2,69,33,14,12,6,2,2,62,31,14,8,6,1,2,13,11,-,-,5,1,-,-,-,-,-,-,-,-,45,16,14,8,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,2,-,4,-,1,-,-,-,-,-,-,-,-,8,5,-,-,1,4,-,15,11,-,1,2,-,-,-,-,-,-,-,-,-
"S00153713",378,213,14,41,51,34,29,254,144,12,32,24,14,24,202,120,11,25,21,11,15,115,61,5,16,19,8,9,5,1,1,-,2,-,-,80,57,5,8,2,2,6,2,1,-,1,-,-,-,-,-,-,-,-,-,-,52,24,1,10,7,4,7,5,4,-,-,2,1,-,42,21,2,2,4,11,1,73,39,-,4,17,7,6,4,3,-,-,-,2,-
"S00153714",78,43,14,6,9,2,4,74,39,14,6,9,2,4,65,36,14,4,8,1,3,19,13,-,2,3,-,2,1,-,-,-,-,-,1,47,23,14,4,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,1,-,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-
"S00153715",131,72,5,19,10,10,19,91,52,5,13,8,5,8,73,44,5,9,4,4,7,49,33,3,7,3,3,3,3,-,-,2,1,-,-,20,11,2,3,-,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,8,-,4,2,-,1,2,2,-,-,1,-,-,12,11,-,-,-,3,-,25,6,-,6,-,-,8,1,1,-,-,-,-,-
"S00153716",134,79,5,17,10,8,11,92,61,5,5,13,-,7,89,56,5,5,12,-,7,50,32,1,3,9,-,4,-,-,-,-,-,-,-,36,24,4,2,4,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5,-,-,-,-,-,1,-,-,-,-,-,1,18,9,-,-,-,7,2,21,7,-,10,1,-,1,3,3,-,-,-,-,-
"S00153717",119,57,7,7,16,12,20,90,47,7,2,14,6,14,77,41,7,2,11,5,11,30,20,1,2,5,-,1,-,-,-,-,-,-,-,45,20,6,-,6,5,9,2,2,-,-,-,-,-,-,-,-,-,-,-,-,13,6,-,-,3,2,5,1,1,-,-,-,-,-,8,3,-,-,-,5,-,16,6,-,2,-,1,6,-,-,-,-,-,-,-
"S00153718",172,90,12,9,30,9,22,106,57,12,4,12,2,19,95,52,12,2,12,2,15,39,23,-,-,9,1,6,2,-,-,1,-,-,1,54,29,12,2,3,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,5,-,1,-,-,4,-,-,-,-,-,-,-,15,6,-,2,1,4,-,51,29,-,4,19,5,1,-,-,-,-,-,-,-
"S00153719",512,276,29,76,64,33,30,328,173,25,55,50,8,17,183,113,23,14,19,5,9,88,53,7,4,12,4,4,6,5,-,-,1,-,-,87,54,16,9,5,1,7,6,4,-,2,1,-,-,-,-,-,-,-,-,-,148,62,4,41,31,3,8,9,2,-,2,1,-,3,99,66,2,5,4,20,1,74,35,1,13,12,4,9,2,-,-,-,1,2,-
"S00153720",146,72,13,20,22,12,11,102,48,13,12,12,8,9,85,40,13,8,10,7,7,43,25,5,7,7,1,2,-,-,-,-,-,-,-,42,16,9,1,5,6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,8,-,4,-,1,2,5,3,-,-,1,-,1,9,7,-,-,1,1,-,34,14,-,6,4,3,1,-,-,-,-,-,-,-
"S00153721",127,65,8,14,20,5,16,86,43,8,17,12,3,7,80,37,8,10,13,3,5,29,13,-,4,6,2,7,5,3,-,-,-,-,-,46,24,8,6,5,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,4,1,-,1,-,-,-,-,-,-,-,10,6,-,-,-,2,2,28,13,-,3,6,-,7,-,-,-,-,-,-,-
"S00153722",116,52,19,9,14,-,22,112,51,19,8,13,-,24,111,51,19,8,12,-,24,28,11,2,2,10,-,5,1,-,-,-,-,-,1,80,42,17,6,2,-,15,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,1,-,-,2,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00153723",103,46,2,16,7,7,23,61,30,-,10,4,2,16,54,26,-,8,4,2,15,28,11,-,5,1,-,8,1,-,-,-,1,-,-,25,12,-,2,2,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,4,-,2,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,5,3,35,20,2,5,3,-,5,-,-,-,-,-,-,-
"S00153724",135,76,5,4,12,1,35,98,61,3,3,10,2,21,80,51,3,4,9,2,18,54,37,-,1,10,2,11,2,1,-,-,1,-,-,28,18,3,1,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,9,-,1,1,-,2,2,-,1,-,-,-,1,7,5,-,-,-,2,4,25,11,-,2,2,-,9,-,-,-,-,-,-,-
"S00153725",135,66,6,8,12,13,26,94,53,5,-,7,2,22,77,41,5,-,7,4,18,55,29,1,2,6,3,18,-,-,-,-,-,-,-,19,12,4,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,10,-,-,-,-,2,2,2,1,-,-,-,-,11,2,-,2,1,4,3,28,10,-,4,4,6,3,-,-,-,-,-,-,-
"S00153726",88,45,-,6,11,5,17,68,36,-,5,9,-,13,56,36,-,6,7,-,16,38,21,-,1,7,-,9,-,-,-,-,-,-,-,18,12,-,4,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,3,-,1,-,-,3,-,-,-,-,-,-,-,7,3,-,-,-,3,1,17,6,-,1,-,2,5,-,-,-,-,-,-,-
"S00153727",69,25,25,3,9,3,7,62,22,20,2,10,1,7,59,21,18,2,10,1,7,15,10,-,-,3,1,1,3,-,-,-,3,-,-,41,11,17,2,5,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,4,1,1,-,-,2,-,3,-,-,1,2,-,-,-,-,-,-,-,-,-
"S00153728",86,38,14,11,5,4,11,68,32,13,10,5,-,8,66,31,13,10,5,-,7,13,5,1,1,5,-,2,-,-,-,-,-,-,-,53,26,16,9,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,1,-,1,-,-,-,-,6,2,-,-,-,2,1,8,3,-,-,-,3,1,-,-,-,-,-,-,-
"S00153729",178,91,19,17,12,19,20,128,72,19,9,7,7,14,116,69,19,5,7,7,12,34,17,-,2,5,5,4,4,4,-,-,-,-,-,83,50,20,3,2,2,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,3,-,4,-,-,-,2,1,-,-,-,2,-,13,2,-,-,4,7,1,32,11,-,8,1,4,4,5,5,-,-,-,-,-
"S00153730",96,42,9,15,9,10,11,71,36,9,10,10,1,8,63,34,7,8,6,-,8,17,12,2,-,3,-,-,2,-,-,-,2,-,-,43,21,10,8,1,-,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,8,2,1,4,1,1,1,2,-,-,-,2,-,-,11,-,-,1,-,8,-,15,5,-,4,1,4,1,-,-,-,-,-,-,-
"S00153731",75,34,8,9,10,5,9,56,23,8,6,9,2,8,52,21,8,6,7,2,8,21,11,1,2,2,1,3,-,-,-,-,-,-,-,31,10,7,4,4,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,2,-,-,2,-,-,-,-,-,-,-,-,-,6,4,-,-,-,1,-,14,7,-,3,1,2,1,-,-,-,-,-,-,-
"S00153732",346,175,19,29,53,35,35,233,130,14,18,37,13,24,203,114,14,14,34,10,17,112,55,4,11,24,8,9,4,2,-,1,-,-,1,83,53,10,2,8,2,6,4,2,-,-,2,-,-,-,-,-,-,-,-,-,30,13,-,4,3,3,7,2,-,2,-,1,-,-,29,16,1,-,-,10,8,79,36,-,12,14,14,6,-,-,-,-,-,-,-
"S00153733",128,59,6,14,20,8,21,101,53,6,12,20,-,8,82,43,6,9,14,-,8,46,27,-,3,8,-,4,-,-,-,-,-,-,-,35,16,6,6,1,1,4,1,-,-,-,1,-,-,-,-,-,-,-,-,-,23,10,-,3,7,-,1,1,1,-,-,-,-,-,7,2,-,-,-,4,-,18,1,-,3,1,2,12,1,1,-,-,-,-,-
"S00153734",111,71,10,2,11,2,19,90,55,9,2,10,-,11,71,46,9,1,7,-,11,25,18,1,1,3,-,2,3,2,-,-,1,-,-,46,23,8,-,2,-,9,1,-,-,-,1,-,-,-,-,-,-,-,-,-,11,9,-,1,1,-,-,2,-,1,-,-,-,-,12,5,-,-,1,2,5,13,10,-,-,1,-,2,2,2,-,-,-,-,-
"S00153735",128,66,17,13,8,5,23,102,53,16,11,7,4,14,95,48,16,6,7,4,14,45,21,3,4,5,3,13,1,-,-,-,-,-,1,48,26,13,4,2,1,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,7,5,-,2,-,-,-,2,1,1,-,-,-,-,4,4,-,-,-,-,1,21,12,-,5,1,1,3,1,1,-,-,-,-,-
"S00153736",131,77,18,8,17,2,10,104,62,13,4,16,1,10,101,58,13,3,14,1,10,50,35,-,2,5,1,6,-,-,-,-,-,-,-,45,21,12,1,9,-,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,7,4,-,1,2,-,-,4,-,2,-,1,-,-,9,5,2,1,-,1,-,14,6,-,2,-,-,2,2,2,-,-,-,-,-
"S00153737",147,53,22,15,16,10,25,121,48,22,12,13,5,17,110,41,22,10,8,4,15,50,22,7,8,7,3,6,1,1,-,-,-,-,-,56,20,18,5,3,1,9,4,-,-,-,2,-,-,-,-,-,-,-,-,-,12,4,-,1,1,1,4,1,-,-,-,-,1,-,10,1,-,3,1,4,2,16,3,-,-,4,1,7,-,-,-,-,-,-,-
"S00153738",87,50,5,5,7,1,20,69,37,5,5,8,-,13,59,32,5,3,7,-,12,21,12,1,-,4,-,4,-,-,-,-,-,-,-,37,19,4,3,2,-,8,1,-,-,-,1,-,-,-,-,-,-,-,-,-,8,5,-,1,2,-,1,1,1,-,-,-,-,-,5,3,-,-,-,-,-,13,8,-,-,-,1,2,1,1,-,-,-,-,-
"S00153739",80,37,32,4,-,1,4,72,33,28,4,-,1,4,70,31,28,4,-,1,4,11,6,4,-,-,-,1,1,1,-,-,-,-,-,58,24,26,4,-,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,6,2,4,-,-,-,-,-,-,-,-,-,-,-
"S00153740",67,16,24,12,12,-,5,60,10,20,12,12,-,4,55,11,19,11,11,-,1,18,5,4,2,8,-,2,1,-,1,-,-,-,-,36,6,16,9,3,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,2,1,1,1,-,1,2,-,2,-,-,-,-,2,2,-,-,-,-,-,1,3,-,-,-,-,1,-,-,-,-,-,-,-
"S00153741",177,98,32,15,17,5,9,161,91,32,17,14,3,9,153,87,32,9,14,2,9,35,22,2,1,6,1,1,2,-,1,-,-,-,-,115,63,33,8,8,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,-,5,-,1,-,2,1,-,-,1,-,-,4,-,-,-,2,1,-,7,3,-,2,-,-,-,3,2,-,1,-,-,-
"S00153742",104,43,38,-,16,1,7,101,42,38,-,16,1,7,101,42,38,-,16,1,7,29,14,4,-,10,1,2,3,3,-,-,-,-,-,68,29,32,-,2,-,5,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"S00153743",108,49,35,5,8,-,9,92,39,35,6,7,-,8,86,37,35,3,3,-,8,12,8,1,-,2,-,1,1,-,1,-,-,-,-,72,27,33,3,4,-,6,1,1,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,3,1,-,-,-,-,-,-,-,-,-,5,3,-,-,1,-,1,7,3,-,2,4,-,1,4,4,-,-,-,-,-
"S00153744",104,42,26,8,19,1,7,88,38,25,6,16,-,7,84,33,25,6,16,-,5,19,8,2,1,7,-,4,2,-,-,-,-,-,1,57,21,22,3,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,5,-,2,-,-,2,2,2,-,-,-,-,-,3,-,1,-,-,1,-,7,-,-,2,5,-,-,-,-,-,-,-,-,-
"S00153745",106,43,21,13,12,4,14,83,39,21,8,6,-,8,75,34,20,8,4,-,8,30,16,5,1,1,-,7,2,-,-,2,-,-,-,42,17,16,1,3,-,4,2,1,-,-,1,-,-,-,-,-,-,-,-,-,7,3,1,1,1,-,-,-,-,-,1,-,1,-,8,2,-,4,1,2,1,13,4,-,2,7,-,2,-,-,-,-,-,-,-
"S00153746",163,88,15,24,10,9,19,135,75,11,24,10,1,16,116,65,11,16,10,-,14,43,22,-,7,9,-,8,1,1,-,-,-,-,-,68,40,9,12,1,-,6,4,4,-,-,-,-,-,-,-,-,-,-,-,-,19,10,-,7,-,1,2,-,-,-,-,-,-,-,16,6,1,2,-,7,1,12,6,-,2,1,1,2,1,1,-,2,-,-,-
"S00153747",198,113,39,15,17,4,10,179,106,39,15,7,1,7,161,93,39,12,8,1,7,39,27,3,-,6,1,2,2,1,-,-,-,-,1,124,65,36,12,2,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,13,-,3,2,-,-,6,2,-,-,5,-,-,4,-,-,-,-,3,1,4,2,-,-,3,-,-,1,2,-,-,-,-,1
"S00153748",132,61,14,17,9,10,21,97,46,14,11,6,3,17,83,38,14,7,5,3,16,37,18,2,3,1,3,8,1,1,-,1,-,-,2,40,18,11,3,2,-,6,2,1,1,-,-,-,-,-,-,-,-,-,-,-,14,8,-,4,1,-,-,4,-,-,4,-,-,-,8,10,-,1,-,1,-,24,8,-,3,1,4,4,-,-,-,-,-,-,-
"S00153749",114,60,15,10,19,6,8,82,47,15,5,8,4,5,73,43,15,4,7,-,4,19,13,-,1,4,-,1,-,-,-,-,-,-,-,54,30,15,5,1,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,1,2,4,2,1,-,-,-,-,1,-,5,1,-,-,1,2,-,24,6,-,5,10,-,3,4,4,-,-,-,-,-
"S00153750",85,47,18,2,5,4,4,81,47,18,2,3,4,4,77,50,18,2,3,4,2,23,17,1,1,1,2,1,-,-,-,-,-,-,-,53,30,17,1,1,1,3,1,-,-,-,1,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,2,1,-,-,-,-,-,-,-,-
"S00153751",85,38,3,15,21,-,11,63,31,3,8,14,-,10,54,25,3,7,15,-,10,23,9,-,4,8,-,-,4,-,-,-,1,-,-,28,16,3,1,3,-,5,1,1,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,-,2,-,-,-,-,-,-,-,-,-,6,-,-,3,3,-,-,16,9,-,4,4,-,1,-,-,-,-,-,-,-
"S00153752",114,57,24,6,17,-,10,111,56,24,6,11,-,10,98,55,16,6,11,-,10,30,19,1,2,6,-,2,2,1,-,-,2,-,-,68,35,16,4,4,-,7,1,-,-,-,-,-,1,-,-,-,-,-,-,-,12,1,8,-,3,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-
"S00153753",106,49,13,22,14,-,12,98,47,14,22,10,-,11,75,42,9,7,8,-,10,14,6,-,1,-,-,5,-,-,-,-,-,-,-,58,35,9,3,8,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,5,3,11,3,-,1,-,-,-,-,-,-,-,3,2,1,-,-,-,-,5,-,-,-,4,-,1,-,-,-,-,-,-,-
"S00153754",87,37,22,7,13,3,3,85,36,22,8,13,3,3,81,34,22,8,12,2,3,19,7,1,3,11,-,2,1,1,-,-,-,-,-,55,24,20,5,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,2,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,-,-,-
"S00153755",102,54,11,6,7,2,17,77,44,11,6,2,-,13,73,43,11,2,2,-,13,31,22,-,1,-,-,7,1,-,-,-,1,-,-,41,21,10,1,3,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,3,-,-,-,-,-,-,-,-,-,-,12,5,-,-,-,4,2,12,4,-,-,6,1,1,-,-,-,-,-,-,-
"S00153756",158,84,32,4,21,3,12,147,79,30,4,20,1,12,144,78,30,4,18,1,12,36,25,2,1,2,-,6,5,1,3,-,1,-,-,103,52,25,4,15,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,2,-,-,3,2,-,-,-,-,-,4,2,-,-,-,2,-,3,-,1,-,1,-,-,1,1,-,-,-,-,-
"S00153757",133,62,31,9,13,2,16,112,57,28,7,8,1,9,108,55,28,6,7,1,9,30,17,3,1,2,-,4,3,3,-,-,-,-,-,75,35,25,5,2,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,-,1,1,-,-,8,3,3,-,-,-,-,4,-,-,1,1,-,2,10,1,-,-,4,-,3,2,2,-,-,-,-,-
"S00153758",105,58,22,8,5,-,13,98,53,22,7,4,-,13,94,47,22,3,4,-,13,20,7,2,2,3,-,6,2,-,-,-,-,-,-,68,42,20,1,-,-,5,1,-,-,-,-,-,1,-,-,-,-,-,-,-,7,3,-,4,-,-,-,-,-,-,-,-,-,-,4,4,-,-,-,-,-,4,2,-,2,2,-,-,-,-,-,-,-,-,-
"S00153759",65,29,13,4,15,-,2,54,27,13,4,9,-,3,53,26,13,4,8,-,3,11,3,-,2,6,-,1,1,-,-,-,1,-,-,40,23,13,2,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,2,-,-,2,-,-,2,-,-,-,3,-,-,1,1,-,-,7,2,-,-,4,-,1,-,-,-,-,-,-,-
"S00153760",170,60,57,12,19,5,17,158,56,54,7,19,3,14,138,48,54,8,16,3,13,37,18,3,2,7,3,5,3,-,1,-,1,-,-,103,30,50,7,8,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13,6,-,3,-,-,4,2,-,-,-,-,-,-,6,4,4,-,-,-,-,1,1,-,-,-,-,-,4,-,-,3,-,-,-
"S00153761",124,65,9,14,8,3,27,107,56,9,13,7,-,21,102,51,9,12,6,-,20,29,17,-,5,2,-,7,1,-,-,-,1,-,-,69,35,9,7,4,-,14,3,2,-,-,-,-,1,-,-,-,-,-,-,-,7,-,-,2,1,-,1,2,1,-,-,-,-,1,6,3,-,-,-,2,-,9,4,-,1,1,-,3,-,-,-,-,-,-,-
